date,time,day_of_week,male_adult,female_adult,male_old,female_old,male_young,female_young
2024-01-01,00:00,월,37,19,63,27,18,51
2024-01-01,01:00,월,26,5,21,36,21,17
2024-01-01,02:00,월,10,27,60,53,14,6
2024-01-01,03:00,월,34,30,32,26,50,12
2024-01-01,04:00,월,74,54,77,22,78,35
2024-01-01,05:00,월,17,30,72,38,34,43
2024-01-01,06:00,월,79,23,157,23,102,64
2024-01-01,07:00,월,83,153,222,61,186,146
2024-01-01,08:00,월,153,26,171,48,89,123
2024-01-01,09:00,월,54,49,122,77,65,105
2024-01-01,10:00,월,135,102,96,104,136,44
2024-01-01,11:00,월,113,68,36,89,160,98
2024-01-01,12:00,월,129,116,34,21,69,86
2024-01-01,13:00,월,165,110,115,96,202,33
2024-01-01,14:00,월,46,30,60,62,140,44
2024-01-01,15:00,월,146,46,119,84,133,78
2024-01-01,16:00,월,57,81,79,67,41,104
2024-01-01,17:00,월,108,27,21,17,78,45
2024-01-01,18:00,월,186,105,208,136,205,142
2024-01-01,19:00,월,215,64,208,130,119,128
2024-01-01,20:00,월,97,55,109,82,91,43
2024-01-01,21:00,월,156,27,27,38,148,32
2024-01-01,22:00,월,24,26,17,21,21,21
2024-01-01,23:00,월,8,9,57,7,14,41
2024-01-02,00:00,화,60,30,62,15,16,41
2024-01-02,01:00,화,78,52,62,15,40,55
2024-01-02,02:00,화,27,46,54,21,47,55
2024-01-02,03:00,화,44,46,9,19,68,45
2024-01-02,04:00,화,45,44,30,31,22,10
2024-01-02,05:00,화,32,37,80,46,79,57
2024-01-02,06:00,화,111,27,164,58,23,16
2024-01-02,07:00,화,268,107,126,124,73,38
2024-01-02,08:00,화,253,20,69,117,42,138
2024-01-02,09:00,화,69,34,120,55,38,111
2024-01-02,10:00,화,124,32,110,42,67,15
2024-01-02,11:00,화,128,75,124,16,171,35
2024-01-02,12:00,화,147,127,103,123,144,125
2024-01-02,13:00,화,137,151,31,31,47,56
2024-01-02,14:00,화,118,62,118,64,60,35
2024-01-02,15:00,화,162,92,37,87,128,38
2024-01-02,16:00,화,21,19,72,76,153,28
2024-01-02,17:00,화,148,72,59,23,102,61
2024-01-02,18:00,화,67,40,149,93,236,38
2024-01-02,19:00,화,177,67,81,114,168,150
2024-01-02,20:00,화,125,25,73,24,95,56
2024-01-02,21:00,화,66,42,173,81,53,92
2024-01-02,22:00,화,47,17,14,54,35,19
2024-01-02,23:00,화,71,22,62,48,77,21
2024-01-03,00:00,수,86,22,18,19,74,9
2024-01-03,01:00,수,49,7,50,32,9,25
2024-01-03,02:00,수,74,8,30,51,84,24
2024-01-03,03:00,수,63,12,55,50,15,25
2024-01-03,04:00,수,20,24,31,20,57,40
2024-01-03,05:00,수,65,34,85,11,77,54
2024-01-03,06:00,수,64,13,20,44,83,82
2024-01-03,07:00,수,59,121,61,93,58,23
2024-01-03,08:00,수,241,51,150,83,27,123
2024-01-03,09:00,수,31,108,92,80,48,52
2024-01-03,10:00,수,81,87,83,71,173,108
2024-01-03,11:00,수,43,100,105,82,91,74
2024-01-03,12:00,수,144,74,223,27,38,96
2024-01-03,13:00,수,148,109,234,68,156,84
2024-01-03,14:00,수,133,101,148,119,165,101
2024-01-03,15:00,수,68,104,101,85,133,60
2024-01-03,16:00,수,129,18,56,68,133,34
2024-01-03,17:00,수,23,69,109,101,176,79
2024-01-03,18:00,수,130,47,188,86,36,85
2024-01-03,19:00,수,39,130,228,81,114,35
2024-01-03,20:00,수,121,106,40,48,139,111
2024-01-03,21:00,수,41,43,110,27,166,33
2024-01-03,22:00,수,16,48,85,34,69,57
2024-01-03,23:00,수,37,23,60,20,54,7
2024-01-04,00:00,목,51,19,17,15,65,63
2024-01-04,01:00,목,57,39,79,43,26,43
2024-01-04,02:00,목,68,59,58,22,49,24
2024-01-04,03:00,목,76,56,35,23,47,41
2024-01-04,04:00,목,76,15,34,57,99,20
2024-01-04,05:00,목,34,54,85,42,18,28
2024-01-04,06:00,목,193,40,54,39,74,29
2024-01-04,07:00,목,114,182,252,102,297,176
2024-01-04,08:00,목,244,151,31,129,176,31
2024-01-04,09:00,목,96,98,66,24,84,73
2024-01-04,10:00,목,90,42,183,13,62,95
2024-01-04,11:00,목,108,64,56,116,102,29
2024-01-04,12:00,목,196,146,177,118,148,86
2024-01-04,13:00,목,112,164,166,122,36,114
2024-01-04,14:00,목,126,94,110,67,24,82
2024-01-04,15:00,목,187,108,173,90,58,54
2024-01-04,16:00,목,27,111,149,73,150,28
2024-01-04,17:00,목,178,93,102,13,166,120
2024-01-04,18:00,목,179,138,216,66,49,108
2024-01-04,19:00,목,59,106,37,129,270,135
2024-01-04,20:00,목,119,41,38,73,69,120
2024-01-04,21:00,목,81,126,40,95,170,116
2024-01-04,22:00,목,31,52,44,60,11,22
2024-01-04,23:00,목,91,45,67,47,19,30
2024-01-05,00:00,금,61,20,56,18,86,12
2024-01-05,01:00,금,39,55,76,59,104,41
2024-01-05,02:00,금,62,48,39,68,83,17
2024-01-05,03:00,금,47,26,54,12,15,61
2024-01-05,04:00,금,60,33,17,19,50,59
2024-01-05,05:00,금,48,50,83,55,40,53
2024-01-05,06:00,금,117,64,162,99,54,125
2024-01-05,07:00,금,174,195,89,194,117,183
2024-01-05,08:00,금,145,168,211,71,172,173
2024-01-05,09:00,금,65,124,95,39,132,133
2024-01-05,10:00,금,112,132,193,16,202,71
2024-01-05,11:00,금,202,85,198,39,200,27
2024-01-05,12:00,금,266,150,172,60,107,24
2024-01-05,13:00,금,31,93,240,174,141,22
2024-01-05,14:00,금,165,101,186,40,22,142
2024-01-05,15:00,금,57,25,127,85,159,131
2024-01-05,16:00,금,103,144,207,30,136,56
2024-01-05,17:00,금,150,120,205,125,51,81
2024-01-05,18:00,금,206,79,101,48,237,57
2024-01-05,19:00,금,280,207,260,209,73,154
2024-01-05,20:00,금,104,93,27,38,188,131
2024-01-05,21:00,금,109,68,183,71,167,91
2024-01-05,22:00,금,28,46,42,72,99,22
2024-01-05,23:00,금,101,24,18,15,49,22
2024-01-06,00:00,토,42,9,76,39,73,16
2024-01-06,01:00,토,109,49,127,75,72,10
2024-01-06,02:00,토,122,30,84,42,85,28
2024-01-06,03:00,토,124,49,88,52,30,56
2024-01-06,04:00,토,129,45,120,76,14,56
2024-01-06,05:00,토,42,18,114,19,99,17
2024-01-06,06:00,토,270,139,116,162,86,31
2024-01-06,07:00,토,148,67,95,203,189,202
2024-01-06,08:00,토,240,81,99,32,232,123
2024-01-06,09:00,토,256,104,152,55,249,35
2024-01-06,10:00,토,70,28,238,70,47,118
2024-01-06,11:00,토,28,149,77,29,74,38
2024-01-06,12:00,토,307,62,45,203,275,70
2024-01-06,13:00,토,153,47,74,107,130,120
2024-01-06,14:00,토,262,47,207,133,80,171
2024-01-06,15:00,토,28,118,247,116,108,49
2024-01-06,16:00,토,109,52,244,165,195,163
