날짜,시간,요일,남자 청년,여자 청년,남자 중장년,여자 중장년,남자 청소년 이하,여자 청소년 이하
2024-01-01,0:00,월,186,199,25,30,5,77
2024-01-01,0:10,월,39,182,52,105,155,153
2024-01-01,0:20,월,73,156,129,88,197,72
2024-01-01,0:30,월,113,140,144,149,5,180
2024-01-01,0:40,월,15,112,200,37,153,29
2024-01-01,0:50,월,88,48,156,117,145,129
2024-01-01,1:00,월,129,146,129,84,124,124
2024-01-01,1:10,월,30,125,114,85,64,195
2024-01-01,1:20,월,195,127,52,171,141,84
2024-01-01,1:30,월,85,34,64,32,160,145
2024-01-01,1:40,월,11,190,115,160,22,179
2024-01-01,1:50,월,122,194,29,35,120,168
2024-01-01,2:00,월,16,178,80,38,54,35
2024-01-01,2:10,월,168,200,164,58,193,130
2024-01-01,2:20,월,14,94,160,179,42,24
2024-01-01,2:30,월,135,82,137,196,56,24
2024-01-01,2:40,월,138,162,57,178,186,182
2024-01-01,2:50,월,161,74,37,146,51,56
2024-01-01,3:00,월,23,154,30,26,108,74
2024-01-01,3:10,월,75,188,195,15,64,74
2024-01-01,3:20,월,5,130,29,60,152,145
2024-01-01,3:30,월,86,30,66,146,146,78
2024-01-01,3:40,월,26,133,180,85,45,13
2024-01-01,3:50,월,82,70,23,121,121,35
2024-01-01,4:00,월,157,132,165,100,80,86
2024-01-01,4:10,월,76,138,66,97,51,118
2024-01-01,4:20,월,40,6,15,45,122,82
2024-01-01,4:30,월,168,163,122,93,178,90
2024-01-01,4:40,월,194,18,100,178,100,30
2024-01-01,4:50,월,79,28,16,75,71,84
2024-01-01,5:00,월,157,33,159,91,197,4
2024-01-01,5:10,월,182,153,56,170,172,171
2024-01-01,5:20,월,120,189,54,160,134,161
2024-01-01,5:30,월,97,186,134,176,175,25
2024-01-01,5:40,월,83,84,189,110,17,136
2024-01-01,5:50,월,51,178,193,70,143,95
2024-01-01,6:00,월,38,14,127,92,61,187
2024-01-01,6:10,월,73,112,21,132,58,88
2024-01-01,6:20,월,150,34,46,29,42,157
2024-01-01,6:30,월,122,56,89,171,130,75
2024-01-01,6:40,월,78,162,22,89,91,118
2024-01-01,6:50,월,80,185,89,130,144,137
2024-01-01,7:00,월,27,18,115,188,158,67
2024-01-01,7:10,월,63,139,17,44,72,103
2024-01-01,7:20,월,181,12,102,86,172,90
2024-01-01,7:30,월,48,101,2,123,68,96
