날짜,시간,요일,남자 청년,여자 청년,남자 중장년,여자 중장년,남자 청소년 이하,여자 청소년 이하
2024-01-01,0:00,월,119,79,82,102,6,15
2024-01-01,0:10,월,124,190,92,13,108,103
2024-01-01,0:20,월,183,148,60,137,120,97
2024-01-01,0:30,월,143,151,36,53,134,89
2024-01-01,0:40,월,147,163,6,132,160,147
2024-01-01,0:50,월,11,11,33,26,168,161
2024-01-01,1:00,월,154,182,73,68,52,24
2024-01-01,1:10,월,81,22,39,154,34,20
2024-01-01,1:20,월,172,38,113,146,65,174
2024-01-01,1:30,월,123,3,126,74,150,69
2024-01-01,1:40,월,58,118,59,40,16,38
2024-01-01,1:50,월,189,26,114,51,97,126
2024-01-01,2:00,월,156,131,48,104,63,144
2024-01-01,2:10,월,111,140,80,179,29,14
2024-01-01,2:20,월,154,79,142,141,174,56
2024-01-01,2:30,월,186,8,146,26,173,89
2024-01-01,2:40,월,48,163,79,193,165,195
2024-01-01,2:50,월,99,198,87,154,50,182
2024-01-01,3:00,월,181,111,67,168,1,54
2024-01-01,3:10,월,111,123,130,54,183,98
2024-01-01,3:20,월,63,176,151,199,89,120
2024-01-01,3:30,월,34,116,175,119,5,37
2024-01-01,3:40,월,13,143,81,188,160,22
2024-01-01,3:50,월,102,1,40,144,40,97
2024-01-01,4:00,월,82,78,40,120,35,129
2024-01-01,4:10,월,33,133,83,144,100,33
2024-01-01,4:20,월,62,62,47,174,5,17
2024-01-01,4:30,월,150,189,3,133,39,79
2024-01-01,4:40,월,17,155,163,49,177,175
2024-01-01,4:50,월,94,169,163,163,130,161
2024-01-01,5:00,월,66,60,124,191,175,177
2024-01-01,5:10,월,47,86,93,191,63,15
2024-01-01,5:20,월,10,196,107,15,20,4
2024-01-01,5:30,월,89,193,63,112,180,16
2024-01-01,5:40,월,30,60,94,59,129,61
2024-01-01,5:50,월,81,137,99,66,184,25
2024-01-01,6:00,월,33,10,180,121,89,75
2024-01-01,6:10,월,181,130,38,117,74,14
2024-01-01,6:20,월,194,178,107,145,197,73
2024-01-01,6:30,월,70,183,97,157,115,42
2024-01-01,6:40,월,192,31,44,197,66,87
2024-01-01,6:50,월,76,140,196,162,133,80
2024-01-01,7:00,월,191,101,176,194,55,168
2024-01-01,7:10,월,54,148,183,28,148,47
2024-01-01,7:20,월,15,2,42,124,27,138
2024-01-01,7:30,월,106,166,25,80,25,174
2024-01-01,7:40,월,13,148,176,138,142,92
2024-01-01,7:50,월,65,76,59,153,157,11
2024-01-01,8:00,월,26,36,41,27,106,65
2024-01-01,8:10,월,112,31,200,15,42,176
2024-01-01,8:20,월,88,1,199,10,71,163
2024-01-01,8:30,월,118,157,115,63,138,32
2024-01-01,8:40,월,135,21,106,7,181,121
2024-01-01,8:50,월,50,169,35,182,171,185
2024-01-01,9:00,월,135,46,116,36,18,110
2024-01-01,9:10,월,199,117,9,23,4,28
2024-01-01,9:20,월,106,186,14,14,187,142
2024-01-01,9:30,월,142,157,184,159,132,87
2024-01-01,9:40,월,28,75,58,134,86,59
2024-01-01,9:50,월,31,184,200,99,104,162
2024-01-01,10:00,월,11,199,88,113,102,132
2024-01-01,10:10,월,54,198,26,59,130,66
2024-01-01,10:20,월,26,156,183,64,19,84
