cctv_id,detected_time,person_label,gender,age
,2025-02-06 14:56:47,10,male,adult
,2025-02-06 14:56:47,1,male,adult
,2025-02-06 14:56:47,5,male,adult
,2025-02-06 14:56:47,7,female,adult
,2025-02-06 14:56:47,3,male,adult
,2025-02-06 14:56:47,8,female,adult
,2025-02-06 14:56:47,6,female,adult
,2025-02-06 14:56:49,2,male,adult
,2025-02-06 14:56:49,4,female,adult
,2025-02-06 14:56:49,9,female,adult
,2025-02-06 14:56:51,14,male,adult
,2025-02-06 14:56:51,13,male,adult
,2025-02-06 14:56:52,17,female,adult
,2025-02-06 14:56:53,18,female,adult
,2025-02-06 14:56:54,19,male,adult
,2025-02-06 14:56:55,23,female,adult
,2025-02-06 14:56:55,24,male,old
,2025-02-06 14:56:56,25,male,adult
,2025-02-06 14:56:56,26,male,adult
,2025-02-06 14:56:58,27,male,adult
,2025-02-06 14:56:58,29,male,adult
,2025-02-06 14:56:59,30,male,adult
,2025-02-06 14:56:59,31,female,young
,2025-02-06 14:57:00,32,female,young
,2025-02-06 14:57:01,33,male,adult
,2025-02-06 14:57:01,34,male,adult
,2025-02-06 14:57:02,35,male,adult
,2025-02-06 14:57:04,40,female,adult
,2025-02-06 14:57:05,42,male,adult
,2025-02-06 14:57:06,43,male,adult
,2025-02-06 14:57:07,44,male,adult
,2025-02-06 14:57:08,45,male,adult
,2025-02-06 14:57:09,46,male,adult
,2025-02-06 14:57:10,47,male,adult
,2025-02-06 14:57:12,49,male,old
,2025-02-06 14:57:13,50,female,adult
,2025-02-06 14:57:13,51,male,adult
,2025-02-06 14:57:14,52,female,adult
,2025-02-06 14:57:15,55,male,adult
,2025-02-06 14:57:16,56,male,adult
,2025-02-06 14:57:19,57,male,adult
,2025-02-06 14:57:19,58,male,adult
,2025-02-06 14:57:20,59,male,adult
,2025-02-06 14:57:21,60,female,old
,2025-02-06 14:57:23,61,male,adult
,2025-02-06 14:57:24,62,male,adult
,2025-02-06 14:57:25,63,male,old
,2025-02-06 14:57:26,64,female,adult
,2025-02-06 14:59:36,1,female,adult
,2025-02-06 14:59:36,6,male,adult
,2025-02-06 14:59:36,4,male,adult
,2025-02-06 14:59:36,5,female,adult
,2025-02-06 14:59:36,3,female,adult
,2025-02-06 14:59:36,2,female,adult
,2025-02-06 14:59:37,7,female,adult
,2025-02-06 14:59:38,8,male,adult
,2025-02-06 14:59:39,9,female,adult
,2025-02-06 14:59:39,10,female,adult
,2025-02-06 14:59:40,12,female,adult
,2025-02-06 14:59:41,13,female,adult
,2025-02-06 14:59:43,15,male,old
,2025-02-06 14:59:44,16,female,adult
,2025-02-06 14:59:46,17,female,old
,2025-02-06 14:59:46,18,female,adult
,2025-02-06 14:59:47,21,male,adult
,2025-02-06 14:59:48,26,male,adult
,2025-02-06 14:59:49,28,female,adult
,2025-02-06 14:59:50,31,female,adult
,2025-02-06 15:00:12,2,female,adult
,2025-02-06 15:00:12,4,male,adult
,2025-02-06 15:00:12,3,female,adult
,2025-02-06 15:00:12,1,male,adult
,2025-02-06 15:00:12,5,female,adult
,2025-02-06 15:00:12,7,male,adult
,2025-02-06 15:00:13,8,female,adult
,2025-02-06 15:00:13,10,female,adult
,2025-02-06 15:00:14,13,male,adult
,2025-02-06 15:00:16,14,male,old
,2025-02-06 15:00:18,16,female,adult
,2025-02-06 15:00:19,17,female,adult
,2025-02-06 15:00:19,18,female,adult
,2025-02-06 15:00:20,19,female,adult
,2025-02-06 15:00:23,23,male,adult
,2025-02-06 15:00:23,22,female,adult
,2025-02-06 15:00:24,24,male,adult
,2025-02-06 15:00:25,25,female,adult
,2025-02-06 15:00:28,26,female,adult
,2025-02-06 15:00:28,30,male,adult
,2025-02-06 15:00:29,31,male,adult
,2025-02-06 15:00:30,32,male,adult
,2025-02-06 15:01:57,4,female,adult
,2025-02-06 15:01:57,3,male,adult
,2025-02-06 15:01:57,1,male,adult
,2025-02-06 15:01:57,2,female,adult
,2025-02-06 15:01:58,5,female,adult
,2025-02-06 15:01:59,6,male,adult
,2025-02-06 15:02:00,8,female,adult
,2025-02-06 15:02:00,9,female,adult
,2025-02-06 15:02:01,11,male,adult
,2025-02-06 15:02:02,12,male,adult
,2025-02-06 15:02:05,13,male,adult
,2025-02-06 15:02:06,14,male,adult
,2025-02-06 15:02:08,15,male,adult
,2025-02-06 15:02:09,16,female,adult
,2025-02-06 15:02:36,2,female,adult
,2025-02-06 15:02:36,4,female,adult
,2025-02-06 15:02:36,1,male,adult
,2025-02-06 15:02:37,3,male,adult
,2025-02-06 15:02:37,5,female,adult
,2025-02-06 15:02:38,6,male,adult
,2025-02-06 15:02:39,8,female,adult
,2025-02-06 15:02:39,9,female,adult
,2025-02-06 15:02:40,11,male,adult
,2025-02-06 15:02:41,12,male,adult
,2025-02-06 15:02:44,13,male,adult
,2025-02-06 15:02:45,14,male,adult
,2025-02-06 15:02:48,15,male,adult
,2025-02-06 15:02:49,16,female,adult
,2025-02-06 15:02:50,17,female,adult
,2025-02-06 15:03:58,1,male,adult
,2025-02-06 15:05:09,1,male,adult
,2025-02-06 15:06:54,2,female,adult
,2025-02-06 15:06:54,3,male,adult
,2025-02-06 15:06:54,4,female,adult
,2025-02-06 15:06:54,1,male,adult
,2025-02-06 15:06:55,5,female,adult
,2025-02-06 15:06:55,6,male,adult
,2025-02-06 15:06:57,8,female,adult
,2025-02-06 15:06:57,9,female,adult
,2025-02-06 15:06:58,11,male,adult
,2025-02-06 15:06:59,12,male,adult
