cctv_id,detected_time,person_label,gender,age
,2025-02-03 18:52:25,1,male,adult
,2025-02-03 18:52:26,2,male,old
,2025-02-03 18:52:27,3,female,adult
,2025-02-03 18:52:28,4,male,adult
,2025-02-03 18:52:29,5,male,adult
,2025-02-03 18:52:30,6,male,adult
,2025-02-03 18:52:31,7,female,adult
,2025-02-03 18:52:33,8,female,adult
,2025-02-03 18:52:34,10,female,adult
,2025-02-03 18:52:36,12,female,adult
,2025-02-03 18:52:37,13,female,adult
,2025-02-03 18:52:40,15,male,adult
,2025-02-03 18:52:42,16,female,adult
,2025-02-03 18:52:44,17,female,old
,2025-02-03 18:52:49,18,female,adult
,2025-02-03 18:52:52,20,female,adult
,2025-02-03 18:52:55,21,female,adult
,2025-02-03 19:02:30,1,female,adult
,2025-02-03 19:02:31,2,male,old
,2025-02-03 19:02:33,4,female,adult
,2025-02-03 19:02:34,5,female,adult
,2025-02-03 19:02:36,7,female,adult
,2025-02-03 19:02:40,9,male,adult
,2025-02-03 19:02:41,10,female,adult
,2025-02-03 19:03:44,1,female,adult
,2025-02-03 19:03:45,2,male,old
,2025-02-03 19:03:47,4,female,adult
,2025-02-03 19:03:48,5,female,adult
,2025-02-03 19:03:50,7,female,adult
,2025-02-03 19:03:54,9,male,adult
,2025-02-03 19:03:55,10,female,adult
,2025-02-03 19:04:36,1,female,adult
,2025-02-03 19:04:37,2,male,old
,2025-02-03 19:04:39,4,female,adult
,2025-02-03 19:04:40,5,female,adult
,2025-02-03 19:04:42,7,female,adult
,2025-02-03 19:04:46,9,male,adult
,2025-02-03 19:04:47,10,female,adult
,2025-02-03 19:13:57,2,female,adult
,2025-02-03 19:14:07,3,male,adult
,2025-02-03 19:14:09,4,male,adult
,2025-02-03 19:38:12,1,female,adult
,2025-02-03 19:38:22,3,male,adult
,2025-02-03 19:38:23,4,male,adult
,2025-02-03 19:38:27,5,male,adult
,2025-02-03 19:38:44,6,female,adult
,2025-02-04 13:23:26,2,female,adult
,2025-02-04 13:23:36,3,male,adult
,2025-02-04 13:23:37,4,male,adult
,2025-02-04 14:09:23,1,female,adult
,2025-02-04 14:09:25,2,male,adult
,2025-02-04 14:09:27,3,female,adult
,2025-02-04 14:09:31,4,male,adult
,2025-02-04 14:09:33,5,male,adult
,2025-02-04 14:09:37,7,female,adult
,2025-02-04 14:09:38,8,female,adult
,2025-02-04 14:09:41,9,female,adult
,2025-02-04 14:09:43,10,male,adult
,2025-02-04 14:09:45,11,female,adult
,2025-02-04 14:09:49,12,male,adult
,2025-02-04 14:09:51,13,female,adult
,2025-02-04 14:09:53,15,female,adult
,2025-02-04 14:10:30,1,female,adult
,2025-02-04 14:10:32,2,female,adult
,2025-02-04 14:10:34,3,male,adult
,2025-02-04 14:10:36,4,male,adult
,2025-02-04 14:10:40,5,male,adult
,2025-02-04 14:10:43,6,female,adult
,2025-02-04 14:10:45,7,female,adult
,2025-02-04 14:10:49,9,male,adult
,2025-02-04 14:10:50,10,female,adult
,2025-02-04 14:10:51,11,female,adult
,2025-02-04 14:11:21,1,male,adult
,2025-02-04 14:11:22,2,male,adult
,2025-02-04 14:11:23,3,female,adult
,2025-02-04 14:11:25,4,male,adult
,2025-02-04 14:11:26,5,male,adult
,2025-02-04 14:11:27,6,male,adult
,2025-02-04 14:11:28,7,female,adult
,2025-02-04 14:11:30,8,female,adult
,2025-02-04 14:11:31,9,female,adult
,2025-02-04 14:11:33,11,female,adult
,2025-02-04 14:11:34,12,female,adult
,2025-02-04 14:11:36,13,male,adult
,2025-02-04 14:11:38,14,female,adult
,2025-02-04 14:11:40,15,female,old
,2025-02-04 14:11:42,16,male,adult
,2025-02-04 14:11:46,17,female,adult
,2025-02-04 14:11:49,20,female,adult
,2025-02-04 14:11:52,21,male,adult
,2025-02-04 14:13:08,1,male,adult
,2025-02-04 14:13:10,3,female,adult
,2025-02-04 14:13:12,6,female,old
,2025-02-04 14:13:13,8,male,old
,2025-02-04 14:13:14,14,female,adult
,2025-02-04 14:13:16,16,female,adult
,2025-02-04 14:13:17,20,male,adult
,2025-02-04 14:13:19,23,female,adult
