날짜,시간,요일,남자 청년,여자 청년,남자 중장년,여자 중장년,남자 청소년 이하,여자 청소년 이하
2024-01-01,00:00,월,152,561,27,195,186,372
2024-01-01,00:10,월,79,231,120,135,134,555
2024-01-01,00:20,월,133,408,78,213,146,408
2024-01-01,00:30,월,149,36,198,3,124,231
2024-01-01,00:40,월,152,246,69,258,170,243
2024-01-01,00:50,월,127,186,91,351,72,108
2024-01-01,01:00,월,19,78,119,354,81,123
2024-01-01,01:10,월,47,444,40,261,155,252
2024-01-01,01:20,월,134,78,198,177,189,318
2024-01-01,01:30,월,107,198,66,549,47,276
2024-01-01,01:40,월,116,135,131,438,117,522
2024-01-01,01:50,월,75,363,15,42,174,510
2024-01-01,02:00,월,21,333,140,75,30,390
2024-01-01,02:10,월,120,213,85,369,187,549
2024-01-01,02:20,월,91,21,121,243,147,351
2024-01-01,02:30,월,107,480,3,576,14,552
2024-01-01,02:40,월,32,150,20,579,140,75
2024-01-01,02:50,월,162,444,173,213,127,267
2024-01-01,03:00,월,153,597,36,405,13,60
2024-01-01,03:10,월,158,165,198,156,138,87
2024-01-01,03:20,월,161,60,27,492,63,66
2024-01-01,03:30,월,33,477,109,114,69,531
2024-01-01,03:40,월,1,537,82,528,5,231
2024-01-01,03:50,월,36,93,33,294,111,465
2024-01-01,04:00,월,45,420,30,441,81,264
2024-01-01,04:10,월,54,330,89,63,69,417
2024-01-01,04:20,월,153,273,95,597,161,330
2024-01-01,04:30,월,29,498,148,396,185,345
2024-01-01,04:40,월,41,87,89,12,120,165
2024-01-01,04:50,월,56,555,40,588,55,132
2024-01-01,05:00,월,41,69,106,141,79,18
2024-01-01,05:10,월,62,456,48,501,83,87
2024-01-01,05:20,월,72,540,186,294,134,354
2024-01-01,05:30,월,128,150,83,588,39,9
2024-01-01,05:40,월,151,420,88,582,17,342
2024-01-01,05:50,월,133,180,32,456,66,252
2024-01-01,06:00,월,55,345,102,594,199,42
2024-01-01,06:10,월,194,42,120,42,98,129
2024-01-01,06:20,월,107,120,86,501,101,231
2024-01-01,06:30,월,93,525,117,102,24,267
2024-01-01,06:40,월,139,366,32,18,55,18
2024-01-01,06:50,월,189,462,16,198,47,18
2024-01-01,07:00,월,153,108,95,513,27,42
2024-01-01,07:10,월,187,507,124,564,74,174
2024-01-01,07:20,월,53,81,15,294,120,528
2024-01-01,07:30,월,53,318,133,528,53,513
2024-01-01,07:40,월,102,594,30,333,77,228
2024-01-01,07:50,월,171,120,31,162,15,588
2024-01-01,08:00,월,150,309,27,18,19,231
2024-01-01,08:10,월,17,213,19,57,164,51
2024-01-01,08:20,월,102,429,128,174,195,219
2024-01-01,08:30,월,27,456,33,153,169,573
2024-01-01,08:40,월,55,114,135,522,67,45
2024-01-01,08:50,월,139,255,198,552,137,24
2024-01-01,09:00,월,42,351,41,456,3,207
2024-01-01,09:10,월,23,579,116,171,10,468
2024-01-01,09:20,월,121,225,93,558,140,408
2024-01-01,09:30,월,160,21,140,303,191,255
2024-01-01,09:40,월,17,513,68,84,10,99
2024-01-01,09:50,월,146,552,197,6,172,279
2024-01-01,10:00,월,34,192,111,324,147,468
2024-01-01,10:10,월,158,594,183,450,22,186
2024-01-01,10:20,월,146,342,112,513,12,201
2024-01-01,10:30,월,81,513,113,120,117,219
2024-01-01,10:40,월,197,573,167,504,88,480
2024-01-01,10:50,월,181,90,19,246,87,87
2024-01-01,11:00,월,49,90,137,459,29,426
2024-01-01,11:10,월,163,540,113,330,29,585
2024-01-01,11:20,월,81,507,37,357,135,120
2024-01-01,11:30,월,175,264,103,204,189,420
2024-01-01,11:40,월,63,99,167,126,12,495
2024-01-01,11:50,월,21,162,143,228,68,480
2024-01-01,12:00,월,97,141,141,465,181,495
2024-01-01,12:10,월,152,177,83,162,46,285
2024-01-01,12:20,월,105,276,4,477,184,363
2024-01-01,12:30,월,13,324,51,237,105,15
2024-01-01,12:40,월,107,150,194,378,61,573
2024-01-01,12:50,월,18,183,79,93,78,420
2024-01-01,13:00,월,183,201,135,273,98,438
2024-01-01,13:10,월,125,513,70,36,157,453
2024-01-01,13:20,월,8,471,30,450,88,81
2024-01-01,13:30,월,152,417,114,267,100,324
2024-01-01,13:40,월,96,552,98,486,148,159
2024-01-01,13:50,월,167,489,74,513,13,333
2024-01-01,14:00,월,196,216,5,219,118,414
2024-01-01,14:10,월,18,159,164,195,24,9
2024-01-01,14:20,월,95,78,40,255,17,483
2024-01-01,14:30,월,8,552,20,300,107,81
2024-01-01,14:40,월,86,255,170,495,94,180
2024-01-01,14:50,월,200,30,74,471,11,483
2024-01-01,15:00,월,178,531,131,405,121,60
2024-01-01,15:10,월,139,555,49,408,104,528
2024-01-01,15:20,월,162,525,91,423,35,330
2024-01-01,15:30,월,136,120,88,600,50,546
2024-01-01,15:40,월,138,246,129,357,13,351
2024-01-01,15:50,월,68,342,109,126,196,387
2024-01-01,16:00,월,122,315,10,453,95,282
2024-01-01,16:10,월,36,363,51,138,18,75
2024-01-01,16:20,월,58,51,35,144,135,597
2024-01-01,16:30,월,102,564,160,462,173,357
2024-01-01,16:40,월,137,180,15,42,15,30
2024-01-01,16:50,월,59,348,52,207,37,294
2024-01-01,17:00,월,42,471,164,15,80,21
2024-01-01,17:10,월,17,396,33,177,129,348
2024-01-01,17:20,월,6,258,105,426,45,252
2024-01-01,17:30,월,29,183,100,390,71,225
2024-01-01,17:40,월,143,315,16,78,98,432
2024-01-01,17:50,월,119,78,52,399,172,441
2024-01-01,18:00,월,65,39,59,567,45,465
2024-01-01,18:10,월,98,231,200,372,180,483
2024-01-01,18:20,월,26,501,124,573,57,126
2024-01-01,18:30,월,49,312,41,594,162,9
2024-01-01,18:40,월,133,66,133,312,1,123
2024-01-01,18:50,월,13,150,118,501,42,63
2024-01-01,19:00,월,13,282,125,183,83,66
2024-01-01,19:10,월,146,321,98,111,194,21
2024-01-01,19:20,월,116,264,3,207,123,453
2024-01-01,19:30,월,193,36,147,309,117,510
2024-01-01,19:40,월,157,60,45,378,182,309
2024-01-01,19:50,월,9,300,160,201,178,558
2024-01-01,20:00,월,53,546,196,180,47,303
2024-01-01,20:10,월,73,375,126,504,134,297
2024-01-01,20:20,월,47,279,43,546,81,597
2024-01-01,20:30,월,44,351,82,138,146,369
2024-01-01,20:40,월,96,546,66,96,106,156
2024-01-01,20:50,월,54,294,143,96,141,420
2024-01-01,21:00,월,84,129,144,456,70,78
2024-01-01,21:10,월,101,576,173,150,196,195
2024-01-01,21:20,월,117,390,87,84,146,234
2024-01-01,21:30,월,18,171,136,528,193,405
2024-01-01,21:40,월,177,123,150,252,167,363
2024-01-01,21:50,월,136,78,120,192,35,18
2024-01-01,22:00,월,11,417,164,459,4,561
2024-01-01,22:10,월,152,207,82,156,102,99
2024-01-01,22:20,월,60,339,154,396,30,315
2024-01-01,22:30,월,176,324,167,39,69,345
2024-01-01,22:40,월,6,180,196,144,14,18
2024-01-01,22:50,월,173,375,44,195,111,597
2024-01-01,23:00,월,155,297,101,408,49,210
2024-01-01,23:10,월,7,225,154,132,147,282
2024-01-01,23:20,월,35,558,173,555,60,27
2024-01-01,23:30,월,178,537,176,264,110,267
2024-01-01,23:40,월,29,561,45,273,15,126
2024-01-01,23:50,월,15,69,106,597,195,273
2024-01-02,00:00,화,185,180,71,198,142,222
2024-01-02,00:10,화,53,585,54,315,43,582
2024-01-02,00:20,화,12,414,67,336,70,360
2024-01-02,00:30,화,192,504,121,564,5,567
2024-01-02,00:40,화,169,390,83,600,102,384
2024-01-02,00:50,화,30,66,64,213,190,546
2024-01-02,01:00,화,57,573,154,330,154,483
2024-01-02,01:10,화,17,534,167,423,195,192
2024-01-02,01:20,화,40,129,72,141,4,357
2024-01-02,01:30,화,143,165,176,444,42,543
2024-01-02,01:40,화,101,3,148,558,141,480
2024-01-02,01:50,화,193,183,42,354,179,417
2024-01-02,02:00,화,117,24,181,12,90,420
2024-01-02,02:10,화,190,231,116,216,190,396
2024-01-02,02:20,화,3,132,156,321,160,123
2024-01-02,02:30,화,58,333,54,171,196,414
2024-01-02,02:40,화,180,339,157,213,95,471
2024-01-02,02:50,화,38,357,55,501,15,411
2024-01-02,03:00,화,50,69,93,195,85,102
2024-01-02,03:10,화,106,222,34,456,54,471
2024-01-02,03:20,화,15,519,39,507,3,231
2024-01-02,03:30,화,200,558,27,594,129,138
2024-01-02,03:40,화,183,540,155,69,136,477
2024-01-02,03:50,화,43,180,155,552,197,231
2024-01-02,04:00,화,27,75,188,252,196,273
2024-01-02,04:10,화,28,552,33,135,88,135
2024-01-02,04:20,화,192,138,119,513,46,246
2024-01-02,04:30,화,98,204,152,492,124,150
2024-01-02,04:40,화,159,297,52,75,63,27
2024-01-02,04:50,화,53,432,35,27,66,9
2024-01-02,05:00,화,162,525,131,342,128,561
2024-01-02,05:10,화,123,555,8,285,36,75
2024-01-02,05:20,화,37,195,8,240,121,48
2024-01-02,05:30,화,144,570,111,384,111,132
2024-01-02,05:40,화,71,129,164,6,1,210
2024-01-02,05:50,화,19,24,99,522,141,54
2024-01-02,06:00,화,14,120,90,384,101,129
2024-01-02,06:10,화,169,66,90,357,125,441
2024-01-02,06:20,화,95,66,27,534,110,297
2024-01-02,06:30,화,17,492,132,219,113,144
2024-01-02,06:40,화,97,468,14,249,156,159
2024-01-02,06:50,화,75,177,99,36,76,21
2024-01-02,07:00,화,64,321,174,126,168,540
2024-01-02,07:10,화,188,591,157,591,128,198
2024-01-02,07:20,화,16,321,95,567,157,573
2024-01-02,07:30,화,146,582,51,51,113,108
2024-01-02,07:40,화,33,3,61,489,127,408
2024-01-02,07:50,화,103,108,109,219,195,453
2024-01-02,08:00,화,154,453,175,357,193,435
2024-01-02,08:10,화,101,87,20,288,16,477
2024-01-02,08:20,화,6,126,31,444,179,504
2024-01-02,08:30,화,83,90,133,309,33,399
2024-01-02,08:40,화,8,3,159,435,191,375
2024-01-02,08:50,화,62,243,166,444,140,210
2024-01-02,09:00,화,16,237,195,171,158,198
2024-01-02,09:10,화,45,267,133,108,150,57
2024-01-02,09:20,화,110,39,153,390,38,462
2024-01-02,09:30,화,127,234,192,210,82,192
2024-01-02,09:40,화,70,90,19,36,134,327
2024-01-02,09:50,화,26,3,67,408,156,558
2024-01-02,10:00,화,6,57,38,177,150,366
2024-01-02,10:10,화,187,231,184,465,140,162
2024-01-02,10:20,화,36,591,141,411,23,351
2024-01-02,10:30,화,46,291,172,300,163,531
2024-01-02,10:40,화,36,153,37,348,75,276
2024-01-02,10:50,화,143,552,192,585,164,24
