날짜,시간,요일,남자 청년,여자 청년,남자 중장년,여자 중장년,남자 청소년 이하,여자 청소년 이하
2024-01-01,00:00,월,144,420,94,160,91,114
2024-01-01,00:10,월,549,150,120,67,46,7
2024-01-01,00:20,월,564,90,179,165,19,1
2024-01-01,00:30,월,483,510,126,129,173,118
2024-01-01,00:40,월,255,9,176,47,24,173
2024-01-01,00:50,월,249,108,1,50,79,18
2024-01-01,01:00,월,219,231,80,56,92,123
2024-01-01,01:10,월,9,579,60,127,89,27
2024-01-01,01:20,월,453,252,195,70,19,143
2024-01-01,01:30,월,552,417,79,180,87,127
2024-01-01,01:40,월,474,453,45,27,32,105
2024-01-01,01:50,월,333,324,178,151,50,93
2024-01-01,02:00,월,420,396,41,196,187,86
2024-01-01,02:10,월,207,21,126,158,98,165
2024-01-01,02:20,월,582,204,85,152,75,150
2024-01-01,02:30,월,447,276,3,69,135,79
2024-01-01,02:40,월,129,264,19,97,82,29
2024-01-01,02:50,월,129,486,158,170,75,34
2024-01-01,03:00,월,39,483,11,24,197,12
2024-01-01,03:10,월,117,414,10,146,66,102
2024-01-01,03:20,월,225,330,61,70,30,180
2024-01-01,03:30,월,147,273,142,112,170,65
2024-01-01,03:40,월,288,396,115,37,198,174
2024-01-01,03:50,월,489,306,197,102,186,77
2024-01-01,04:00,월,519,510,149,46,56,173
2024-01-01,04:10,월,453,123,59,149,91,138
2024-01-01,04:20,월,102,240,177,62,64,92
2024-01-01,04:30,월,93,441,14,198,148,136
2024-01-01,04:40,월,231,303,148,50,131,141
2024-01-01,04:50,월,483,123,142,87,107,138
2024-01-01,05:00,월,480,381,38,60,16,153
2024-01-01,05:10,월,456,21,96,168,168,30
2024-01-01,05:20,월,519,315,34,50,133,174
2024-01-01,05:30,월,126,381,104,158,125,91
2024-01-01,05:40,월,300,69,148,113,183,159
2024-01-01,05:50,월,279,231,137,33,197,5
2024-01-01,06:00,월,381,558,30,116,22,128
2024-01-01,06:10,월,3,90,103,123,186,122
2024-01-01,06:20,월,405,93,108,44,138,23
2024-01-01,06:30,월,168,552,51,107,111,111
2024-01-01,06:40,월,537,513,167,38,117,193
2024-01-01,06:50,월,192,78,11,18,120,54
2024-01-01,07:00,월,198,537,184,102,24,50
2024-01-01,07:10,월,213,48,116,170,13,197
2024-01-01,07:20,월,435,324,180,113,91,75
2024-01-01,07:30,월,42,114,131,81,154,109
2024-01-01,07:40,월,513,27,173,33,147,121
2024-01-01,07:50,월,327,177,98,70,41,22
2024-01-01,08:00,월,465,414,94,148,168,2
2024-01-01,08:10,월,228,297,73,154,153,13
2024-01-01,08:20,월,267,549,39,151,100,18
2024-01-01,08:30,월,48,285,104,160,140,35
2024-01-01,08:40,월,165,240,73,179,174,64
2024-01-01,08:50,월,228,204,196,199,36,67
2024-01-01,09:00,월,411,186,128,40,195,155
2024-01-01,09:10,월,447,15,87,123,184,167
2024-01-01,09:20,월,234,246,198,28,62,191
2024-01-01,09:30,월,21,459,180,153,68,87
2024-01-01,09:40,월,396,156,142,144,138,16
2024-01-01,09:50,월,162,63,92,6,66,142
2024-01-01,10:00,월,597,108,127,192,30,111
2024-01-01,10:10,월,309,108,60,188,119,175
2024-01-01,10:20,월,516,27,111,49,50,192
2024-01-01,10:30,월,144,138,123,43,154,99
2024-01-01,10:40,월,123,6,143,195,11,95
2024-01-01,10:50,월,405,459,66,145,25,42
2024-01-01,11:00,월,462,378,68,3,42,18
2024-01-01,11:10,월,540,546,126,108,64,193
2024-01-01,11:20,월,555,150,98,96,137,55
2024-01-01,11:30,월,246,336,98,76,59,199
2024-01-01,11:40,월,42,51,28,24,178,155
2024-01-01,11:50,월,501,378,140,103,138,129
2024-01-01,12:00,월,330,453,167,130,20,103
2024-01-01,12:10,월,567,249,27,199,87,134
2024-01-01,12:20,월,237,249,129,155,105,44
2024-01-01,12:30,월,189,150,40,195,83,31
2024-01-01,12:40,월,153,591,168,93,77,181
2024-01-01,12:50,월,45,30,13,196,145,110
2024-01-01,13:00,월,486,348,154,187,111,198
2024-01-01,13:10,월,504,102,3,40,55,35
2024-01-01,13:20,월,42,144,6,154,78,27
2024-01-01,13:30,월,360,516,52,129,120,90
2024-01-01,13:40,월,453,555,75,63,133,71
2024-01-01,13:50,월,558,534,146,136,100,83
2024-01-01,14:00,월,30,69,189,69,45,44
2024-01-01,14:10,월,567,195,151,171,186,80
2024-01-01,14:20,월,231,213,193,109,124,92
2024-01-01,14:30,월,336,255,40,121,13,180
2024-01-01,14:40,월,351,216,80,66,69,183
2024-01-01,14:50,월,507,171,97,122,150,67
2024-01-01,15:00,월,348,282,194,134,159,84
2024-01-01,15:10,월,117,12,35,65,128,83
2024-01-01,15:20,월,390,390,129,79,43,164
2024-01-01,15:30,월,36,459,47,192,39,156
2024-01-01,15:40,월,351,552,160,124,77,62
2024-01-01,15:50,월,297,126,93,23,66,11
2024-01-01,16:00,월,156,492,146,46,144,24
2024-01-01,16:10,월,270,153,170,135,140,31
2024-01-01,16:20,월,564,477,2,99,40,37
2024-01-01,16:30,월,399,534,123,93,200,194
2024-01-01,16:40,월,3,564,185,80,118,34
2024-01-01,16:50,월,543,285,123,104,122,157
2024-01-01,17:00,월,579,351,154,60,23,171
2024-01-01,17:10,월,519,426,58,54,37,92
2024-01-01,17:20,월,279,441,11,174,23,62
2024-01-01,17:30,월,333,399,33,17,94,195
2024-01-01,17:40,월,438,519,105,72,156,107
2024-01-01,17:50,월,174,387,132,62,16,169
2024-01-01,18:00,월,516,480,45,172,48,19
2024-01-01,18:10,월,444,36,17,159,149,169
2024-01-01,18:20,월,591,177,140,128,25,171
2024-01-01,18:30,월,495,150,158,126,192,106
2024-01-01,18:40,월,60,450,14,156,153,122
2024-01-01,18:50,월,486,87,8,163,120,3
2024-01-01,19:00,월,264,558,102,7,109,188
2024-01-01,19:10,월,534,582,4,101,73,73
2024-01-01,19:20,월,576,42,51,154,160,120
2024-01-01,19:30,월,330,114,73,151,64,107
2024-01-01,19:40,월,363,186,139,11,138,40
2024-01-01,19:50,월,348,378,22,119,184,197
2024-01-01,20:00,월,114,123,45,179,58,157
2024-01-01,20:10,월,210,357,59,171,110,153
2024-01-01,20:20,월,378,333,11,136,112,200
2024-01-01,20:30,월,399,216,92,95,93,122
2024-01-01,20:40,월,99,54,148,190,71,163
2024-01-01,20:50,월,87,273,11,18,194,13
2024-01-01,21:00,월,210,522,148,134,26,167
2024-01-01,21:10,월,312,417,76,163,132,35
2024-01-01,21:20,월,270,426,33,49,7,78
2024-01-01,21:30,월,288,210,158,46,179,165
2024-01-01,21:40,월,588,45,53,155,75,18
2024-01-01,21:50,월,210,183,15,1,20,1
2024-01-01,22:00,월,96,588,66,34,50,45
2024-01-01,22:10,월,363,195,40,179,65,146
2024-01-01,22:20,월,456,3,64,74,116,39
2024-01-01,22:30,월,396,42,117,114,28,77
2024-01-01,22:40,월,576,555,177,196,120,55
2024-01-01,22:50,월,240,216,167,185,176,89
2024-01-01,23:00,월,294,303,148,115,27,179
2024-01-01,23:10,월,459,429,133,84,55,90
2024-01-01,23:20,월,243,426,127,46,24,49
2024-01-01,23:30,월,492,291,69,181,167,189
2024-01-01,23:40,월,273,474,34,35,19,8
2024-01-01,23:50,월,345,213,108,69,175,200
2024-01-02,00:00,화,81,147,17,183,137,110
2024-01-02,00:10,화,144,318,74,165,152,132
2024-01-02,00:20,화,261,240,162,157,90,48
2024-01-02,00:30,화,381,381,193,114,57,54
2024-01-02,00:40,화,183,120,71,49,63,64
2024-01-02,00:50,화,489,423,78,31,25,116
2024-01-02,01:00,화,360,378,107,3,117,114
2024-01-02,01:10,화,399,306,37,80,95,61
2024-01-02,01:20,화,378,234,87,94,34,97
2024-01-02,01:30,화,381,360,85,195,20,112
2024-01-02,01:40,화,195,588,151,128,154,126
2024-01-02,01:50,화,198,135,46,64,160,114
2024-01-02,02:00,화,336,27,35,120,97,8
2024-01-02,02:10,화,429,372,93,146,86,81
2024-01-02,02:20,화,345,195,107,104,22,110
2024-01-02,02:30,화,219,3,22,75,4,200
2024-01-02,02:40,화,90,429,164,177,176,88
2024-01-02,02:50,화,270,222,32,2,30,105
2024-01-02,03:00,화,408,243,163,179,56,47
2024-01-02,03:10,화,189,108,108,156,163,134
2024-01-02,03:20,화,351,111,135,168,109,143
2024-01-02,03:30,화,354,99,182,17,34,56
2024-01-02,03:40,화,66,39,166,127,69,118
2024-01-02,03:50,화,63,393,38,40,78,6
2024-01-02,04:00,화,318,189,128,184,26,14
2024-01-02,04:10,화,318,207,91,196,183,54
2024-01-02,04:20,화,252,171,127,59,181,174
2024-01-02,04:30,화,246,183,173,41,68,7
2024-01-02,04:40,화,360,309,74,32,173,169
2024-01-02,04:50,화,438,282,17,136,114,80
2024-01-02,05:00,화,204,369,157,78,169,155
2024-01-02,05:10,화,594,129,10,28,183,165
2024-01-02,05:20,화,297,249,34,133,15,189
2024-01-02,05:30,화,297,90,82,140,118,86
2024-01-02,05:40,화,126,264,18,87,145,194
2024-01-02,05:50,화,462,306,164,99,154,158
2024-01-02,06:00,화,393,486,196,35,49,195
2024-01-02,06:10,화,303,489,85,21,6,110
2024-01-02,06:20,화,366,594,90,96,188,151
2024-01-02,06:30,화,465,30,103,59,75,180
2024-01-02,06:40,화,402,486,101,22,24,110
2024-01-02,06:50,화,459,459,85,194,49,169
2024-01-02,07:00,화,498,135,168,173,87,18
2024-01-02,07:10,화,495,426,10,111,55,36
2024-01-02,07:20,화,543,120,60,113,49,6
2024-01-02,07:30,화,342,579,108,137,7,81
2024-01-02,07:40,화,435,231,17,48,39,42
2024-01-02,07:50,화,363,159,156,125,11,153
2024-01-02,08:00,화,213,321,147,14,188,158
2024-01-02,08:10,화,237,294,14,41,24,76
2024-01-02,08:20,화,228,297,121,64,86,191
2024-01-02,08:30,화,315,114,82,14,13,86
2024-01-02,08:40,화,279,120,82,68,138,67
2024-01-02,08:50,화,264,60,149,165,2,81
2024-01-02,09:00,화,522,72,187,9,108,58
2024-01-02,09:10,화,264,207,171,137,99,93
2024-01-02,09:20,화,225,18,166,190,170,115
2024-01-02,09:30,화,576,33,24,57,21,41
2024-01-02,09:40,화,432,270,197,81,178,164
2024-01-02,09:50,화,540,108,172,21,137,108
2024-01-02,10:00,화,54,282,80,15,25,70
2024-01-02,10:10,화,354,420,195,196,43,81
2024-01-02,10:20,화,33,162,140,145,61,9
2024-01-02,10:30,화,24,27,50,86,64,78
2024-01-02,10:40,화,36,570,163,102,36,111
2024-01-02,10:50,화,105,30,35,151,178,187
2024-01-02,11:00,화,549,240,18,40,65,80
2024-01-02,11:10,화,522,318,90,67,99,56
2024-01-02,11:20,화,234,72,138,99,181,88
2024-01-02,11:30,화,69,15,153,78,54,12
2024-01-02,11:40,화,306,426,115,158,181,186
2024-01-02,11:50,화,171,228,121,33,7,92
2024-01-02,12:00,화,369,165,123,138,42,28
2024-01-02,12:10,화,210,174,61,92,59,160
2024-01-02,12:20,화,570,528,150,167,73,82
2024-01-02,12:30,화,426,582,146,154,35,78
2024-01-02,12:40,화,597,291,125,108,4,159
2024-01-02,12:50,화,45,117,135,153,25,151
2024-01-02,13:00,화,186,549,155,26,75,24
2024-01-02,13:10,화,492,591,96,47,28,107
2024-01-02,13:20,화,75,90,7,199,97,11
2024-01-02,13:30,화,9,552,156,134,138,149
2024-01-02,13:40,화,207,6,199,142,185,44
2024-01-02,13:50,화,33,465,177,132,196,70
2024-01-02,14:00,화,306,135,119,81,22,17
