date,time,day_of_week,male_adult,female_adult,male_old,female_old,male_young,female_young
2018-01-01,00:00,월,44,28,24,17,69,30
2018-01-01,01:00,월,27,42,23,30,42,16
2018-01-01,02:00,월,8,22,67,42,75,16
2018-01-01,03:00,월,10,9,18,39,40,38
2018-01-01,04:00,월,65,47,61,34,32,27
2018-01-01,05:00,월,53,39,57,9,78,39
2018-01-01,06:00,월,131,97,44,22,146,18
2018-01-01,07:00,월,181,70,48,120,131,53
2018-01-01,08:00,월,153,18,91,118,215,42
2018-01-01,09:00,월,47,19,141,58,91,67
2018-01-01,10:00,월,52,63,126,46,145,29
2018-01-01,11:00,월,56,23,31,13,144,32
2018-01-01,12:00,월,37,119,160,44,105,80
2018-01-01,13:00,월,96,45,48,117,110,135
2018-01-01,14:00,월,58,62,31,96,157,68
2018-01-01,15:00,월,28,102,42,26,95,105
2018-01-01,16:00,월,67,42,79,102,98,88
2018-01-01,17:00,월,163,22,21,73,134,26
2018-01-01,18:00,월,163,117,60,18,195,122
2018-01-01,19:00,월,66,122,144,51,49,162
2018-01-01,20:00,월,164,35,80,106,17,66
2018-01-01,21:00,월,147,14,145,67,78,89
2018-01-01,22:00,월,75,40,19,48,55,22
2018-01-01,23:00,월,37,35,48,18,54,9
2018-01-02,00:00,화,17,32,87,40,15,10
2018-01-02,01:00,화,16,25,40,26,71,17
2018-01-02,02:00,화,71,25,75,29,50,25
2018-01-02,03:00,화,55,43,53,24,41,56
2018-01-02,04:00,화,10,44,42,60,38,14
2018-01-02,05:00,화,33,7,79,32,61,8
2018-01-02,06:00,화,144,83,80,86,170,117
2018-01-02,07:00,화,200,120,265,65,46,99
2018-01-02,08:00,화,100,62,93,163,171,142
2018-01-02,09:00,화,106,15,86,76,42,48
2018-01-02,10:00,화,40,37,172,12,152,88
2018-01-02,11:00,화,27,100,181,24,41,17
2018-01-02,12:00,화,226,138,61,127,69,92
2018-01-02,13:00,화,148,142,208,51,209,89
2018-01-02,14:00,화,33,50,84,61,128,105
2018-01-02,15:00,화,152,105,150,54,20,84
2018-01-02,16:00,화,137,106,116,92,59,100
2018-01-02,17:00,화,172,101,38,86,99,36
2018-01-02,18:00,화,211,155,90,128,74,32
2018-01-02,19:00,화,273,42,244,98,114,83
2018-01-02,20:00,화,40,56,99,61,85,100
