날짜,시간,요일,남자 청년,여자 청년,남자 중장년,여자 중장년,남자 청소년 이하,여자 청소년 이하
2024-01-01,00:00,월,57,42,135,186,498,381
2024-01-01,00:10,월,177,252,426,237,102,477
2024-01-01,00:20,월,309,336,54,453,405,381
2024-01-01,00:30,월,465,426,588,585,552,600
2024-01-01,00:40,월,354,177,294,552,351,264
2024-01-01,00:50,월,90,390,180,420,174,345
2024-01-01,01:00,월,3,51,432,600,381,108
2024-01-01,01:10,월,384,120,171,234,123,102
2024-01-01,01:20,월,288,342,513,42,504,591
2024-01-01,01:30,월,426,75,576,126,165,330
2024-01-01,01:40,월,483,267,216,69,450,162
2024-01-01,01:50,월,477,594,573,423,129,450
2024-01-01,02:00,월,282,84,507,570,585,375
2024-01-01,02:10,월,582,345,207,201,201,177
2024-01-01,02:20,월,309,522,537,204,387,552
2024-01-01,02:30,월,6,300,72,369,420,393
2024-01-01,02:40,월,72,381,15,597,33,141
2024-01-01,02:50,월,159,474,117,558,6,174
2024-01-01,03:00,월,441,36,102,360,66,243
2024-01-01,03:10,월,417,42,180,129,447,18
2024-01-01,03:20,월,150,240,63,189,111,558
2024-01-01,03:30,월,561,315,30,402,363,243
2024-01-01,03:40,월,300,426,294,495,129,342
2024-01-01,03:50,월,60,456,600,126,42,72
2024-01-01,04:00,월,417,480,438,153,483,516
2024-01-01,04:10,월,558,165,96,147,42,393
2024-01-01,04:20,월,387,246,507,153,162,408
2024-01-01,04:30,월,147,405,531,600,402,192
2024-01-01,04:40,월,438,102,276,282,543,546
2024-01-01,04:50,월,225,138,255,99,564,75
2024-01-01,05:00,월,423,519,495,15,531,387
2024-01-01,05:10,월,450,414,411,366,159,363
2024-01-01,05:20,월,135,255,453,99,189,255
2024-01-01,05:30,월,441,249,312,192,156,315
2024-01-01,05:40,월,156,318,585,519,330,75
2024-01-01,05:50,월,468,543,471,240,333,510
2024-01-01,06:00,월,249,489,561,252,276,582
2024-01-01,06:10,월,27,108,546,378,207,228
2024-01-01,06:20,월,354,42,165,69,306,60
2024-01-01,06:30,월,519,549,24,558,516,522
2024-01-01,06:40,월,216,381,195,456,183,75
2024-01-01,06:50,월,225,258,9,84,123,60
2024-01-01,07:00,월,129,414,462,60,513,504
2024-01-01,07:10,월,564,18,144,27,57,474
2024-01-01,07:20,월,561,189,138,462,3,417
2024-01-01,07:30,월,453,540,540,474,519,390
2024-01-01,07:40,월,579,183,189,261,417,219
2024-01-01,07:50,월,318,354,123,387,105,525
2024-01-01,08:00,월,492,417,561,324,585,183
2024-01-01,08:10,월,435,426,561,495,168,201
2024-01-01,08:20,월,147,225,303,204,48,225
2024-01-01,08:30,월,522,306,459,6,27,234
2024-01-01,08:40,월,390,297,390,486,354,117
2024-01-01,08:50,월,21,138,423,144,489,111
2024-01-01,09:00,월,141,186,240,60,255,66
2024-01-01,09:10,월,366,288,507,147,525,435
2024-01-01,09:20,월,507,204,567,444,114,504
2024-01-01,09:30,월,66,384,306,375,522,222
2024-01-01,09:40,월,549,597,57,525,477,522
2024-01-01,09:50,월,441,555,489,48,495,327
2024-01-01,10:00,월,564,252,60,468,66,537
2024-01-01,10:10,월,519,132,528,252,525,597
