날짜,시간,요일,남자 청년,여자 청년,남자 중장년,여자 중장년,남자 청소년 이하,여자 청소년 이하
2024-01-01,00:00,월,44,21,21,4,29,35
2024-01-01,00:10,월,7,16,45,36,9,28
2024-01-01,00:20,월,31,14,13,31,22,5
2024-01-01,00:30,월,6,16,30,20,12,15
2024-01-01,00:40,월,9,7,28,36,42,12
2024-01-01,00:50,월,39,39,44,3,26,49
2024-01-01,01:00,월,36,5,23,33,3,22
2024-01-01,01:10,월,4,1,34,18,10,20
2024-01-01,01:20,월,23,44,2,46,33,6
2024-01-01,01:30,월,17,49,36,33,2,15
2024-01-01,01:40,월,15,31,23,22,34,33
2024-01-01,01:50,월,27,38,18,45,43,32
2024-01-01,02:00,월,14,46,25,36,30,15
2024-01-01,02:10,월,4,16,22,42,11,28
2024-01-01,02:20,월,5,2,26,30,29,20
2024-01-01,02:30,월,7,28,49,42,23,20
2024-01-01,02:40,월,6,46,17,26,40,30
2024-01-01,02:50,월,34,44,9,43,10,11
2024-01-01,03:00,월,22,14,45,14,24,39
2024-01-01,03:10,월,33,46,25,18,35,18
2024-01-01,03:20,월,21,19,5,22,22,32
2024-01-01,03:30,월,20,4,16,14,26,47
2024-01-01,03:40,월,26,48,43,30,23,33
2024-01-01,03:50,월,18,31,45,29,20,27
2024-01-01,04:00,월,12,17,15,12,20,6
2024-01-01,04:10,월,28,47,1,6,8,33
2024-01-01,04:20,월,41,39,3,40,24,32
2024-01-01,04:30,월,26,17,30,5,2,27
2024-01-01,04:40,월,48,30,17,17,34,34
2024-01-01,04:50,월,18,12,36,36,9,35
2024-01-01,05:00,월,20,13,45,40,25,20
2024-01-01,05:10,월,26,28,15,11,12,6
2024-01-01,05:20,월,38,27,17,32,9,8
2024-01-01,05:30,월,48,41,4,32,34,39
2024-01-01,05:40,월,23,13,29,13,40,9
2024-01-01,05:50,월,45,29,5,21,18,20
2024-01-01,06:00,월,11,8,36,15,23,36
2024-01-01,06:10,월,1,22,27,39,4,10
2024-01-01,06:20,월,24,24,35,43,28,19
2024-01-01,06:30,월,3,5,44,19,7,28
2024-01-01,06:40,월,22,39,45,13,24,48
2024-01-01,06:50,월,10,26,11,34,47,23
2024-01-01,07:00,월,48,40,6,28,44,19
2024-01-01,07:10,월,48,2,32,39,11,48
2024-01-01,07:20,월,11,37,12,27,21,1
2024-01-01,07:30,월,28,27,46,31,43,15
2024-01-01,07:40,월,30,24,25,23,8,11
2024-01-01,07:50,월,44,11,28,42,36,22
2024-01-01,08:00,월,11,49,2,4,9,41
2024-01-01,08:10,월,6,43,4,13,24,10
2024-01-01,08:20,월,32,36,19,14,47,18
2024-01-01,08:30,월,48,6,10,43,49,35
2024-01-01,08:40,월,34,21,17,25,29,23
2024-01-01,08:50,월,40,5,9,46,22,48
2024-01-01,09:00,월,39,33,15,1,31,8
2024-01-01,09:10,월,34,23,39,41,49,38
2024-01-01,09:20,월,14,37,39,4,27,23
2024-01-01,09:30,월,16,42,7,26,16,14
2024-01-01,09:40,월,34,28,21,28,27,42
2024-01-01,09:50,월,23,8,49,8,43,38
2024-01-01,10:00,월,37,11,8,30,43,43
2024-01-01,10:10,월,8,32,28,31,41,14
2024-01-01,10:20,월,9,14,35,33,16,18
2024-01-01,10:30,월,30,41,12,35,5,12
2024-01-01,10:40,월,41,6,32,14,41,20
2024-01-01,10:50,월,45,24,2,46,21,11
2024-01-01,11:00,월,3,35,17,39,28,33
2024-01-01,11:10,월,20,25,34,39,31,46
2024-01-01,11:20,월,45,43,45,16,4,11
2024-01-01,11:30,월,15,41,4,37,7,30
2024-01-01,11:40,월,33,8,9,23,1,25
2024-01-01,11:50,월,23,33,31,24,45,14
2024-01-01,12:00,월,3,16,37,6,30,43
2024-01-01,12:10,월,9,24,5,42,5,40
2024-01-01,12:20,월,39,41,44,39,44,31
2024-01-01,12:30,월,30,25,43,13,44,32
2024-01-01,12:40,월,30,31,27,1,44,26
2024-01-01,12:50,월,4,4,13,11,25,19
2024-01-01,13:00,월,9,17,44,25,26,26
2024-01-01,13:10,월,26,49,44,2,10,26
2024-01-01,13:20,월,4,6,10,35,1,42
2024-01-01,13:30,월,35,4,41,13,6,19
2024-01-01,13:40,월,31,19,19,32,5,33
2024-01-01,13:50,월,13,49,3,26,6,23
2024-01-01,14:00,월,4,35,44,17,48,35
2024-01-01,14:10,월,44,21,41,5,18,7
2024-01-01,14:20,월,26,27,36,32,8,40
2024-01-01,14:30,월,14,42,17,37,16,25
2024-01-01,14:40,월,46,14,40,21,33,32
2024-01-01,14:50,월,2,5,20,8,2,40
2024-01-01,15:00,월,21,36,37,37,15,35
2024-01-01,15:10,월,3,42,15,19,38,7
2024-01-01,15:20,월,46,9,13,29,25,16
2024-01-01,15:30,월,10,31,26,41,14,32
2024-01-01,15:40,월,12,2,39,31,13,29
2024-01-01,15:50,월,47,13,39,6,40,12
2024-01-01,16:00,월,18,15,40,39,43,14
2024-01-01,16:10,월,47,48,31,49,49,10
2024-01-01,16:20,월,43,16,39,44,18,46
2024-01-01,16:30,월,3,47,48,5,9,8
2024-01-01,16:40,월,41,45,23,32,26,26
2024-01-01,16:50,월,5,43,1,45,21,23
2024-01-01,17:00,월,36,7,20,29,26,19
2024-01-01,17:10,월,29,19,22,39,17,19
2024-01-01,17:20,월,40,26,27,7,40,12
2024-01-01,17:30,월,29,30,35,6,20,9
