date,time,day_of_week,male_adult,female_adult,male_old,female_old,male_young,female_young
2024-01-01,00:00,월,18,36,13,47,31,22
2024-01-01,01:00,월,25,33,16,15,59,33
2024-01-01,02:00,월,30,29,18,46,36,47
2024-01-01,03:00,월,63,40,16,18,50,29
2024-01-01,04:00,월,8,15,43,7,77,22
2024-01-01,05:00,월,49,34,24,8,16,37
2024-01-01,06:00,월,50,43,51,63,75,13
2024-01-01,07:00,월,26,76,233,117,62,55
2024-01-01,08:00,월,146,113,190,155,125,127
2024-01-01,09:00,월,143,62,80,63,57,76
2024-01-01,10:00,월,93,90,47,76,129,89
2024-01-01,11:00,월,64,69,24,87,116,82
2024-01-01,12:00,월,110,34,149,54,108,46
2024-01-01,13:00,월,29,108,194,107,99,92
2024-01-01,14:00,월,68,25,115,32,127,64
2024-01-01,15:00,월,80,102,28,20,72,72
2024-01-01,16:00,월,54,95,126,17,132,12
2024-01-01,17:00,월,94,82,38,54,84,46
2024-01-01,18:00,월,68,21,99,97,100,43
2024-01-01,19:00,월,165,86,164,50,201,68
2024-01-01,20:00,월,120,17,39,40,61,76
2024-01-01,21:00,월,97,65,61,30,137,56
2024-01-01,22:00,월,50,32,60,49,24,36
2024-01-01,23:00,월,54,31,58,43,41,10
2024-01-02,00:00,화,56,39,27,22,78,35
2024-01-02,01:00,화,49,8,29,45,51,8
2024-01-02,02:00,화,63,19,44,25,41,39
2024-01-02,03:00,화,63,31,33,23,46,18
2024-01-02,04:00,화,27,17,38,11,11,48
2024-01-02,05:00,화,46,13,12,14,63,24
2024-01-02,06:00,화,104,110,124,113,86,32
2024-01-02,07:00,화,170,156,76,150,83,67
2024-01-02,08:00,화,177,78,204,53,179,18
2024-01-02,09:00,화,59,22,82,47,132,93
2024-01-02,10:00,화,120,77,52,75,113,34
2024-01-02,11:00,화,113,86,130,108,105,33
2024-01-02,12:00,화,201,37,36,52,116,113
2024-01-02,13:00,화,87,128,169,73,62,122
2024-01-02,14:00,화,132,45,66,111,99,87
2024-01-02,15:00,화,82,34,54,31,81,74
2024-01-02,16:00,화,123,86,93,15,148,29
2024-01-02,17:00,화,53,68,59,110,132,71
2024-01-02,18:00,화,80,157,52,62,121,145
2024-01-02,19:00,화,176,126,108,163,44,52
2024-01-02,20:00,화,161,22,72,73,146,92
2024-01-02,21:00,화,54,108,41,26,31,18
2024-01-02,22:00,화,77,16,71,51,48,17
2024-01-02,23:00,화,86,14,82,38,63,18
2024-01-03,00:00,수,30,34,21,17,47,24
2024-01-03,01:00,수,63,48,29,44,82,42
2024-01-03,02:00,수,27,45,38,56,79,14
2024-01-03,03:00,수,28,18,70,18,48,45
2024-01-03,04:00,수,63,11,52,46,69,55
2024-01-03,05:00,수,86,32,14,9,21,28
2024-01-03,06:00,수,129,34,69,82,76,12
2024-01-03,07:00,수,217,86,251,93,89,147
2024-01-03,08:00,수,203,77,129,142,87,48
2024-01-03,09:00,수,77,84,106,108,91,49
2024-01-03,10:00,수,74,64,136,85,128,104
2024-01-03,11:00,수,18,17,46,55,87,12
2024-01-03,12:00,수,46,18,200,73,204,140
2024-01-03,13:00,수,152,122,93,40,47,101
2024-01-03,14:00,수,51,90,97,55,115,23
2024-01-03,15:00,수,172,95,54,92,63,33
2024-01-03,16:00,수,99,104,159,71,113,96
2024-01-03,17:00,수,132,89,113,33,59,43
2024-01-03,18:00,수,69,130,241,21,164,99
2024-01-03,19:00,수,186,166,75,102,189,19
2024-01-03,20:00,수,145,64,150,81,155,88
2024-01-03,21:00,수,42,97,126,45,156,92
2024-01-03,22:00,수,75,32,42,7,57,21
2024-01-03,23:00,수,63,14,57,7,46,51
2024-01-04,00:00,목,64,15,11,40,10,33
2024-01-04,01:00,목,93,41,88,13,48,42
2024-01-04,02:00,목,12,35,11,35,13,9
2024-01-04,03:00,목,30,33,72,20,57,54
2024-01-04,04:00,목,81,18,17,42,11,61
2024-01-04,05:00,목,52,20,92,58,11,38
2024-01-04,06:00,목,60,89,164,118,159,36
2024-01-04,07:00,목,186,127,180,40,192,79
2024-01-04,08:00,목,239,97,124,91,278,63
2024-01-04,09:00,목,71,43,32,74,117,80
2024-01-04,10:00,목,56,15,115,111,102,111
2024-01-04,11:00,목,152,42,60,93,83,126
2024-01-04,12:00,목,197,135,241,58,55,51
2024-01-04,13:00,목,36,89,52,58,29,76
2024-01-04,14:00,목,116,34,21,120,177,89
2024-01-04,15:00,목,175,54,62,24,40,14
2024-01-04,16:00,목,77,55,130,119,42,14
2024-01-04,17:00,목,104,87,52,87,42,20
2024-01-04,18:00,목,203,103,193,131,34,54
2024-01-04,19:00,목,54,71,271,137,65,189
2024-01-04,20:00,목,114,102,59,43,94,79
2024-01-04,21:00,목,94,63,45,15,128,101
2024-01-04,22:00,목,17,44,41,57,51,54
2024-01-04,23:00,목,53,44,72,52,53,18
2024-01-05,00:00,금,21,30,47,39,74,58
2024-01-05,01:00,금,16,36,65,61,56,34
2024-01-05,02:00,금,61,53,28,10,54,25
2024-01-05,03:00,금,81,60,35,67,78,36
2024-01-05,04:00,금,69,61,92,22,100,62
2024-01-05,05:00,금,103,43,83,26,44,44
2024-01-05,06:00,금,75,45,67,122,178,105
2024-01-05,07:00,금,62,147,305,20,158,65
2024-01-05,08:00,금,308,87,114,161,183,158
2024-01-05,09:00,금,135,123,114,43,106,82
2024-01-05,10:00,금,41,123,99,118,99,57
2024-01-05,11:00,금,132,37,118,137,135,122
2024-01-05,12:00,금,230,141,130,57,268,179
2024-01-05,13:00,금,265,129,180,147,223,136
2024-01-05,14:00,금,67,114,30,100,60,138
2024-01-05,15:00,금,38,104,167,14,26,28
2024-01-05,16:00,금,91,119,177,73,185,63
2024-01-05,17:00,금,54,34,37,55,207,71
2024-01-05,18:00,금,158,158,84,79,301,206
2024-01-05,19:00,금,150,101,161,100,217,99
2024-01-05,20:00,금,122,15,77,28,116,136
2024-01-05,21:00,금,84,91,201,106,98,98
2024-01-05,22:00,금,88,22,20,30,17,59
2024-01-05,23:00,금,88,11,61,15,66,46
2024-01-06,00:00,토,86,37,28,42,80,28
2024-01-06,01:00,토,45,13,123,56,99,52
2024-01-06,02:00,토,27,65,93,26,38,59
2024-01-06,03:00,토,14,31,47,41,23,15
2024-01-06,04:00,토,59,34,101,22,13,58
2024-01-06,05:00,토,40,13,118,54,122,26
2024-01-06,06:00,토,46,120,101,157,234,153
2024-01-06,07:00,토,283,66,172,37,224,58
2024-01-06,08:00,토,281,91,181,178,86,143
2024-01-06,09:00,토,61,141,203,165,143,126
2024-01-06,10:00,토,152,148,179,106,179,154
2024-01-06,11:00,토,246,123,48,53,84,33
2024-01-06,12:00,토,279,149,74,66,155,118
2024-01-06,13:00,토,59,40,274,22,281,162
2024-01-06,14:00,토,168,140,157,69,41,17
2024-01-06,15:00,토,146,18,36,77,73,73
2024-01-06,16:00,토,31,57,221,106,43,158
2024-01-06,17:00,토,226,117,41,94,121,47
2024-01-06,18:00,토,197,179,46,191,375,53
2024-01-06,19:00,토,289,198,166,153,330,174
2024-01-06,20:00,토,144,87,103,169,203,95
2024-01-06,21:00,토,76,56,151,145,219,165
2024-01-06,22:00,토,67,72,69,43,127,63
2024-01-06,23:00,토,123,65,33,21,57,46
2024-01-07,00:00,일,28,50,97,73,91,13
2024-01-07,01:00,일,40,10,112,41,28,38
2024-01-07,02:00,일,87,77,46,50,65,23
2024-01-07,03:00,일,26,77,25,37,57,35
2024-01-07,04:00,일,29,47,112,62,107,9
2024-01-07,05:00,일,29,59,82,71,93,46
2024-01-07,06:00,일,208,160,86,58,142,132
2024-01-07,07:00,일,324,45,186,31,149,94
2024-01-07,08:00,일,43,210,38,115,138,172
2024-01-07,09:00,일,58,109,26,45,45,77
2024-01-07,10:00,일,230,57,54,126,92,155
2024-01-07,11:00,일,232,49,239,84,171,55
2024-01-07,12:00,일,310,36,295,167,55,95
2024-01-07,13:00,일,102,136,253,182,71,97
2024-01-07,14:00,일,153,156,51,122,87,46
2024-01-07,15:00,일,194,31,171,87,141,68
2024-01-07,16:00,일,152,68,46,143,49,89
2024-01-07,17:00,일,150,88,38,85,69,139
2024-01-07,18:00,일,209,60,82,36,76,81
2024-01-07,19:00,일,76,208,102,233,171,176
2024-01-07,20:00,일,197,105,156,62,37,117
2024-01-07,21:00,일,234,147,197,126,93,119
2024-01-07,22:00,일,87,10,87,77,66,17
2024-01-07,23:00,일,12,16,61,54,88,23
2024-01-08,00:00,월,61,5,9,8,67,51
2024-01-08,01:00,월,31,19,30,20,61,19
2024-01-08,02:00,월,29,43,37,15,66,53
2024-01-08,03:00,월,12,19,79,43,25,31
2024-01-08,04:00,월,9,50,41,14,12,17
2024-01-08,05:00,월,16,28,76,14,8,25
2024-01-08,06:00,월,52,99,133,75,139,107
